 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor serviços profissionais por Unidade da Federação e Ano/mês atendimento
Período:Jan/2008-Mar/2021
"Unidade da Federação";"1992/Mar";"1992/Abr";"1993/Mai";"1993/Dez";"1994/Jan";"1994/Fev";"1994/Mai";"1994/Ago";"1994/Nov";"1995/Jan";"1995/Mar";"1995/Jun";"1995/Ago";"1995/Dez";"1996/Fev";"1996/Mar";"1996/Ago";"1996/Dez";"1997/Fev";"1997/Nov";"1998/Fev";"1998/Mar";"1998/Jul";"1998/Ago";"1998/Set";"1998/Out";"1998/Dez";"1999/Fev";"1999/Mar";"1999/Mai";"1999/Jul";"1999/Ago";"1999/Set";"1999/Out";"1999/Nov";"1999/Dez";"2000/Jan";"2000/Fev";"2000/Mar";"2000/Abr";"2000/Mai";"2000/Jun";"2000/Jul";"2000/Ago";"2000/Set";"2000/Out";"2000/Nov";"2000/Dez";"2001/Jan";"2001/Fev";"2001/Mar";"2001/Abr";"2001/Mai";"2001/Jun";"2001/Jul";"2001/Ago";"2001/Set";"2001/Nov";"2001/Dez";"2002/Jan";"2002/Fev";"2002/Mar";"2002/Mai";"2002/Jun";"2002/Jul";"2002/Out";"2002/Nov";"2002/Dez";"2003/Jan";"2003/Fev";"2003/Mar";"2003/Abr";"2003/Jun";"2003/Jul";"2003/Ago";"2003/Out";"2003/Nov";"2003/Dez";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;177,65;-;-;-;-;-;973,46;3692,49;21327,09;61737,18;139579,03;404918,34;432359,36;426504,57;458684,26;467830,23;574653,04;646217,91;670883,95;657468,80;661383,02;654377,81;605417,26;683899,46;673252,38;891799,12;863083,16;849157,14;756226,61;825948,12;825137,36;814500,98;847838,20;793854,91;772649,73;787927,01;798958,43;935240,16;908977,52;941554,72;879312,85;930490,98;913713,42;958743,52;921283,69;904202,48;872462,91;823027,08;873353,50;934283,85;1006611,96;969006,05;952952,65;879129,83;998800,62;891929,51;927107,92;923849,95;843381,90;930914,69;919706,04;1000203,62;945032,95;942642,68;942745,32;903431,38;888451,55;845164,11;914299,92;871273,62;861767,02;962395,95;916680,57;1127824,00;1121808,63;1077308,60;1015856,96;1156395,09;1218770,98;1281032,63;1291886,13;1343788,96;1220214,31;1279550,91;1194384,87;1298137,33;1295325,33;1428372,38;1346581,05;1393249,97;1383862,42;1346177,66;1366670,42;1326745,00;1303313,90;1357024,94;1279839,75;1478202,95;1419882,20;1535498,39;1455097,71;1443404,58;1438031,09;1456779,72;1444855,10;1462216,72;1501138,85;1379474,23;1374361,90;1525689,24;1501723,95;1639212,92;1604876,09;1532865,10;1579770,85;1520904,17;1560783,43;1434167,26;1439216,80;1412538,55;1437492,28;1760380,81;1626776,38;1680590,66;1606722,80;1654222,84;1731171,57;1611027,99;1722307,24;1615771,03;1608112,80;1669902,82;1548855,94;1744736,92;1715952,07;1860457,53;1673610,42;1780768,31;1818748,85;1702918,14;1700185,06;1705963,05;1654243,35;1658166,87;1715751,00;1797275,98;1822619,06;1888820,34;1721281,32;1726176,12;1732690,14;1674714,49;1755943,45;1764808,29;1701328,42;1644523,75;1654482,71;1437331,73;1479046,86;1678371,74;1988870,30;1935181,33;2120638,21;1692424,82;1601371,26;1674184,70;1708905,69;1575393,45;1149685,81;815532,85;199447798,12
"12 Acre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33,83;-;-;-;-;200,78;-;1390,42;1726,94;13877,37;56444,09;144342,41;403529,81;415072,63;486302,17;482849,00;524757,06;507531,05;484641,08;467392,68;511289,61;540628,90;512201,37;556948,03;524794,43;526621,20;603366,19;585994,59;636214,80;542895,28;504452,13;407979,65;269174,81;563042,80;574834,66;557921,08;572712,34;498121,11;650943,18;630583,45;615489,79;565012,37;560611,76;606846,85;639025,06;649652,78;600561,35;605583,34;659706,50;604328,48;678759,51;650260,67;768447,92;649922,61;667048,31;683459,42;667629,06;672360,33;642694,47;684566,44;696131,69;577630,65;737384,55;664579,31;672481,88;683755,68;713601,45;682642,62;749639,04;730118,64;700736,00;650878,30;682723,94;607865,90;696296,35;705458,85;728814,52;670074,70;728331,98;729408,32;703129,88;759458,50;676691,38;668060,47;694153,66;653621,00;751758,74;789677,48;817673,66;790035,49;777998,16;778060,05;625227,41;747750,11;786699,58;699109,36;765799,04;708255,33;744286,88;743002,39;771122,64;810395,95;730015,72;755330,25;770700,31;777372,33;731837,51;759455,36;748612,31;748656,34;797747,34;747467,48;796954,10;792320,35;829103,06;810685,87;751223,25;680356,00;692575,58;730994,48;730667,65;742939,58;851073,78;686895,85;793170,49;805489,16;862675,71;825060,56;804248,54;820768,78;769271,36;665939,15;695393,95;657764,19;740842,38;710784,08;722173,54;708972,38;725044,33;738705,35;688976,41;737699,65;587845,06;539953,30;605774,42;522364,37;592782,67;707340,88;753994,63;777262,87;848806,56;747466,14;749628,13;775711,03;734608,75;700795,24;764973,52;708256,58;712346,17;628251,03;688176,26;838040,84;900006,41;827593,35;837008,00;827252,89;822737,51;847880,62;725082,49;562728,83;316955,72;108490888,26
"13 Amazonas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;333,78;48,14;-;201,00;-;-;20,65;12699,16;14491,07;90588,68;437375,66;1398610,97;2190568,87;1842751,39;2027043,56;1981870,79;2071446,23;2010851,58;2019197,20;1968115,11;1938025,56;1772299,72;1834807,79;1909396,54;2037324,00;1928812,74;2154598,78;1872481,28;1931135,60;2131844,51;2163581,61;2163763,18;2160288,11;2124733,06;2068432,97;2025734,33;2195175,27;1969695,01;2388436,59;2201397,88;2110307,27;2003534,17;2065762,55;2196048,87;2304802,80;2413523,93;2258443,56;2196517,70;2316370,52;2236135,63;2512098,76;2379212,04;2309148,12;2324806,96;2296230,18;2423636,39;2372816,15;2462359,76;2550677,48;2086993,76;2400892,90;2115934,17;2455516,86;2359928,03;2572179,34;2442534,66;2537410,64;2486033,39;2302815,21;2375484,35;2351571,24;2113744,32;2610180,96;2161155,92;2371181,40;2452966,10;2590785,02;2471265,50;2507514,69;2524496,19;2503995,61;2538211,72;2478749,96;2197589,74;2300899,16;2089475,37;2358634,81;2371073,49;2464484,61;2510386,99;2551105,16;2567863,54;2739387,45;2793430,18;2749451,30;2654620,19;2823346,33;2667266,88;3014852,15;2967088,97;2992340,61;3205743,72;3136843,11;3157759,68;3009841,41;3116798,82;2770985,84;2728531,02;2779718,66;2857989,82;3234086,49;3039212,46;3200058,20;2926113,28;2961876,78;2916415,07;2738003,25;2791359,15;2573188,32;2783888,94;2912519,91;2718178,93;3077841,36;3150594,13;3287761,46;3156442,14;3312715,65;3225326,37;3294337,72;3342091,84;3196146,20;3128162,68;3419309,24;2923689,27;3440612,72;3349517,44;3496932,25;3270130,83;3528534,14;3662744,26;3499575,84;3717292,64;3313884,65;3209041,35;3460313,91;3117125,68;3569246,85;3553378,28;3686958,61;3426375,84;3696942,05;3683550,77;3534744,56;3690465,57;3437959,50;3369384,94;3629034,48;3399456,55;3305232,39;3447594,86;4019747,56;3854409,35;4065929,05;4043542,55;3959726,16;4058140,70;4182372,99;4294418,63;4799084,89;2886077,04;1485952,04;439614412,92
"14 Roraima";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;67,15;-;1545,93;1927,17;11867,14;125951,83;147402,01;223776,26;218578,05;247430,67;248441,51;286800,31;256540,65;254008,67;248608,61;252395,21;297419,74;325030,58;329587,29;320976,52;297636,52;369714,94;339912,67;340014,24;335655,63;345865,31;386618,47;407348,26;386395,19;401837,37;379065,99;414058,79;356298,25;448733,16;415063,92;437404,66;433396,12;452281,33;497548,72;492637,97;460431,83;387117,35;380360,53;400014,13;290412,80;284590,97;316426,01;427876,94;417400,94;405040,55;435704,37;469051,73;462903,31;431183,20;431089,76;414520,77;423483,58;465434,86;413530,80;485093,42;445664,76;429239,81;458551,85;426936,39;387926,18;439963,95;433751,07;460354,94;385159,99;462812,52;459903,73;447435,47;514278,66;471024,59;473919,11;445744,83;462337,51;425115,84;454979,76;431855,22;379536,19;478390,54;462768,25;504302,94;428694,45;438835,10;453845,60;466092,03;445098,05;470501,18;483374,45;499845,24;418417,95;451196,49;491285,75;514103,64;524874,22;544563,96;580929,35;572295,10;521961,97;498274,11;480285,48;562163,83;510467,02;570576,53;498635,70;492477,52;551538,65;555089,19;603968,71;533305,09;554007,99;526913,39;533634,14;544755,36;548620,39;627477,48;594288,31;669021,81;656604,35;649953,40;726377,28;694295,77;682651,71;679477,91;682938,22;694769,60;632766,11;698465,34;706597,12;741640,50;749732,89;722816,03;837904,43;762526,03;767060,36;658255,65;654775,79;683019,02;635275,50;722078,92;747405,80;712055,95;639697,59;711323,62;797355,44;789076,05;801135,44;768627,64;702126,13;752868,79;736166,33;734420,70;572841,27;686945,85;735976,92;723185,11;723055,51;697013,56;760023,88;784800,54;721676,25;714148,61;686119,52;561158,07;82140066,49
"15 Pará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;81,36;-;-;-;-;-;-;-;-;-;-;1064,00;590,47;-;-;24,97;138,97;1658,39;34312,99;83464,21;383411,90;1058568,83;2888443,53;4978205,88;4565445,33;5169088,92;5373753,90;5418670,60;5361323,17;5224740,61;5411335,52;5546721,98;5422526,87;5410039,93;5416101,28;5661733,28;5070616,76;6120490,93;5953548,89;5836962,79;5823744,62;5779387,88;6053676,80;6094287,09;6037969,29;5913015,93;5692504,90;5828164,91;5506801,82;6172706,76;5867352,42;6154681,44;5842035,75;5756960,44;6086187,20;6133958,78;6014474,32;6082285,95;5920333,59;6196917,46;5793159,00;6423533,15;6063970,57;6229221,40;6095789,48;5932553,26;6299829,68;6228127,48;6359209,60;6271348,09;6071355,59;6224296,34;5724018,27;6370005,28;5973344,98;6450771,83;5709960,90;5568519,60;5862835,10;6099202,65;6310279,63;5939943,66;5623066,59;6171081,84;5617036,22;6411352,22;6683821,46;6664277,89;6367057,00;6297415,79;6409199,42;6546378,45;6549807,89;6238022,30;5935987,35;6507304,10;6221356,64;6467531,47;6511643,60;6755574,31;6297060,46;6624560,63;6543501,30;6762884,20;6616032,02;6614684,97;6214911,02;6511489,52;5801512,25;6947750,00;6667566,43;6852842,41;6625599,64;6643090,58;6638566,66;6782899,90;6703673,65;6477037,52;6295070,89;6514415,36;6170806,80;6992719,27;6793838,71;7220147,60;7308399,93;7002893,60;7504482,51;7558648,01;7050552,35;7012611,90;6831373,85;7277679,88;6476778,36;7839409,45;7006811,52;7880229,09;7438954,43;7411711,64;7878086,85;7678626,54;7875444,59;7670649,25;7331435,63;7826396,18;7082145,84;7792257,20;7890557,47;7986039,13;7767160,52;7943027,31;8332825,47;8061370,80;9143908,19;7826846,70;7582071,52;8092368,52;7482085,55;7686427,09;7068413,51;7047505,82;6559821,58;8560813,05;8509054,45;8722420,00;8715863,56;8282576,12;8078033,32;8562794,02;7864004,00;7928902,58;6606158,39;8883096,07;8759817,79;9108392,02;8964462,76;8714902,63;9021533,38;8740205,29;8464421,86;7811969,29;5401563,48;3138096,06;1069687453,38
"16 Amapá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;204,97;1482,90;2804,27;4832,32;19227,05;20844,59;48551,60;210589,33;343909,81;326214,35;314264,28;359169,52;373544,39;377997,48;360851,66;423971,01;416638,46;441853,11;452582,24;469225,07;463106,51;417730,80;488812,79;491274,98;500874,15;466749,55;468357,71;527525,74;503714,49;490351,12;454555,94;450153,93;477624,09;409326,07;513332,70;505495,74;480724,51;494400,41;500353,25;557767,44;506499,81;497572,72;472144,91;436260,92;521666,07;471393,43;523016,78;509095,20;484750,21;422412,68;476575,49;507486,77;481647,12;520731,22;518530,35;436439,46;524031,85;486795,63;508044,49;503684,52;565896,98;499166,46;522257,16;562992,26;544585,65;557606,16;520390,00;491703,51;530614,00;486554,19;537399,08;574211,24;563107,66;526272,43;550317,50;555194,95;553111,04;611643,66;529157,33;514217,92;601634,66;505007,78;556045,91;588268,91;498284,47;453132,04;514388,47;535583,25;546156,45;577396,99;470908,59;441132,50;474018,12;448497,35;530354,30;536439,31;523393,11;553812,21;548439,82;576977,49;599420,59;549002,14;514339,40;460951,28;489137,05;471288,56;529401,39;535327,52;508549,23;548648,37;507971,22;507319,63;508353,81;501694,28;474312,13;498989,89;522751,98;432163,01;562823,34;502444,96;567971,08;566011,84;528967,13;582290,10;580462,07;561132,11;514455,38;458248,47;512665,81;486793,43;494052,87;573619,92;543009,94;536260,89;577181,12;665917,88;681941,10;703654,40;649108,42;660210,39;648320,44;659500,98;663114,09;652286,59;538437,26;660038,31;638869,23;598474,28;687868,50;665361,02;618368,00;560175,72;603628,03;619789,79;598649,25;499694,57;655906,97;649665,12;634450,49;691278,09;673412,94;730922,28;687803,01;708978,80;623545,08;384586,61;217773,41;83955783,86
"17 Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;85,39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;74,53;-;74,62;-;-;-;6014,11;74,62;753,52;14073,85;57227,91;205394,54;641642,65;1043358,80;1000735,28;1102475,45;1145301,34;1159222,86;1150085,39;1082401,15;1153453,23;1159228,45;1288068,73;1183856,50;1255059,86;1312756,07;1247470,35;1458979,74;1398066,28;1436940,54;1366004,83;1352899,93;1436474,88;1386716,78;1414719,59;1403715,69;1384451,59;1378081,46;1262182,06;1561828,18;1536113,54;1548207,30;1450834,24;1545489,65;1592502,85;1572399,63;1614449,24;1531788,71;1463319,23;1580908,22;1512105,97;1700673,02;1661240,67;1761898,91;1741731,67;1601053,35;1751824,37;1694827,56;1717850,05;1772054,21;1592016,42;1590775,26;1580129,83;1828776,49;1778950,14;1826565,68;1660872,03;1727864,07;1795007,96;1691865,05;1678157,62;1722335,86;1613908,20;1663028,93;1551279,99;1755022,55;1795623,07;1894526,46;1751555,67;1639965,29;1720048,66;1817638,81;1838962,42;1662150,76;1582992,96;1623517,89;1542141,58;1660632,01;1783249,78;1856561,50;1731358,28;1780191,55;1759535,64;1787960,53;1889766,71;1602498,98;1601167,72;1470899,69;1393906,21;1549573,72;1557983,81;1545698,21;1584435,02;1504995,38;1545538,37;1479674,32;1457328,02;1303689,11;1228921,58;1309373,95;1349615,24;1429289,68;1509193,94;1497885,85;1457462,62;1440849,02;1398291,49;1282606,09;1367235,82;1397872,08;1353245,68;1369140,84;1306476,81;1656515,23;1434963,11;1498901,76;1516095,62;1443979,35;1499817,08;1329538,87;1345930,58;1106400,51;1260342,45;1261287,47;1033565,71;1183400,38;1244200,55;1302815,84;1220036,87;1205452,19;1203479,14;1189133,47;1269821,80;1327332,23;1360302,84;1459320,77;1305003,59;1471760,76;1622799,92;1552442,83;1580084,96;1595438,27;1589119,27;1570761,28;1699888,03;1685982,23;1631251,12;1578965,63;1582838,29;1526015,06;1398838,79;1572405,11;1711200,81;1655625,10;1341120,93;942229,24;468596,20;85239,39;109755,99;59844,36;75906,49;167456,22;230204211,73
"21 Maranhão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18,37;-;-;-;147,61;157,79;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;61,86;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;865,23;944,98;-;35,91;887,94;-;6354,82;85659,17;198028,00;474968,47;926651,93;1908246,91;3829417,77;2985633,11;3352005,89;3467780,97;3377384,05;3407279,07;3442329,31;3514677,21;3676400,87;3641652,41;3594198,92;3497651,46;3683794,26;3362357,34;4178187,21;3977783,21;4069228,16;4042320,23;4138796,97;4217803,43;4319207,17;4384867,19;4172263,38;3979707,19;4305328,93;3861804,42;4627465,21;4323120,41;4573910,46;4406047,28;4484068,37;4562549,19;4582927,37;4515131,54;4310298,75;4012774,79;4460258,78;4264118,73;4495295,97;4482048,84;4626767,73;4470159,49;4497614,39;4904068,47;4575591,83;4683680,89;4598724,27;4379261,69;4857566,49;4430098,78;4952597,84;4831673,80;5222756,47;4827714,15;5071796,69;5127004,02;4945061,82;4839609,98;4431647,76;4116186,95;5271443,27;4486434,58;5079864,90;5264800,42;5417932,47;5292718,87;5382652,37;5504497,81;5588971,11;5737361,34;5282199,51;5001188,00;5439244,56;5094285,71;5510432,95;5487653,74;5682217,86;5356284,85;5737392,12;5787191,58;5854963,62;5778642,56;5477892,68;4978459,58;5309379,43;4926830,02;6054096,62;5846581,04;6098996,81;5592807,99;5936971,02;5998275,85;5839060,73;5839351,42;5333295,76;4983965,41;5405044,44;5202451,11;5782996,55;5670234,90;5976110,95;5743288,14;5628922,56;6052506,47;5684762,99;5492770,03;5149658,81;4662929,05;5365614,22;5026894,83;5938882,74;5493130,81;6317158,28;5968360,32;6262147,35;6463577,96;6032445,04;6329691,81;6162267,52;5853407,11;6307499,71;5584264,83;6414319,61;6694070,82;6503618,80;6149962,81;6760072,95;6752348,43;6607870,95;6808533,45;6226648,01;5929344,74;6470490,67;5958375,05;6442975,24;6460031,27;6923019,46;6401161,66;6694208,44;6778203,80;6805484,23;6456326,96;6664976,08;6303436,84;6603969,76;5962117,95;6104994,15;4982777,52;6770254,53;7076391,58;6861023,43;6925146,44;6824344,72;7275519,69;6854223,24;6434900,88;5722835,51;4887347,60;3543662,23;841418834,91
"22 Piauí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;79,67;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22,95;-;-;62,47;-;2134,00;38126,20;73614,19;223802,43;471050,99;1006787,16;2299102,16;2062072,56;2233898,74;2204633,53;2307623,77;2275090,09;2312015,27;2349235,18;2444892,45;2455666,04;2377869,70;2258859,13;2606191,80;2306900,43;2853193,22;2598930,24;2721385,87;2538213,93;2690803,25;2736011,94;2725046,69;2682295,70;2707894,86;2375977,93;2649294,25;2392292,04;2858016,52;2565291,91;2794916,46;2570505,70;2560037,70;2606753,89;2635448,40;2687126,10;2670595,00;2481041,61;2979400,30;2628454,11;2895309,55;2805902,17;2899524,53;2762692,93;2717782,77;2769019,79;2886248,17;2755869,96;2737787,06;2591769,40;2873896,75;2609636,67;2786285,07;2772463,05;3091438,86;2778217,92;3013246,55;3033193,50;2984670,93;2875206,63;2782701,21;2655233,67;2905823,11;2649071,44;3037851,99;3204481,84;3209322,69;3241514,51;3187927,59;3063749,89;3037510,83;3091991,48;2800348,61;2582826,73;2905213,42;2832222,00;2906693,81;2909280,25;2974108,74;2835800,11;3042363,10;3047458,57;3165275,45;2986228,14;3019098,37;2876321,49;2862600,20;2695158,75;3094123,74;3037365,75;3120175,79;3130829,00;3118915,81;3218967,23;3279478,57;3201887,31;3054040,62;2981499,66;3146163,31;2928621,66;3325450,53;3329226,13;3510394,72;3464036,32;3374375,46;3393339,46;3311504,91;3224397,93;3136547,74;2976169,39;3236708,25;3005725,99;3478326,25;3239918,65;3563102,15;3245664,80;3199664,91;3275305,39;3257067,37;3274867,40;3303735,79;3124507,18;3275416,00;2812164,85;3353152,46;3392094,40;3578529,86;3319846,75;3377933,28;3403236,40;3326833,54;3513178,00;3274506,14;3222757,05;3457492,90;3147318,74;3446492,38;3419608,07;3632838,29;3436234,90;3519322,81;3638568,46;3670591,32;3885539,49;3570665,84;3392764,43;3493208,61;3258123,27;3204407,16;2555981,93;3126867,81;3559966,66;4669558,68;4197946,92;3947172,87;3962273,40;3886936,81;3724387,60;3613345,61;2686215,70;1887136,30;480569719,64
